bowler,total_wickets,total_balls,total_runs_given,economy
Abhishek Sharma,2,72,92,7.67
JW Hastings,2,16,6,2.25
JR Hopes,2,49,85,10.41
Anand Rajan,2,51,51,6.0
JA Richardson,2,25,40,9.6
J Yadav,2,62,71,6.87
J Theron,2,37,53,8.59
IC Pandey,2,31,39,7.55
I Udana,2,37,64,10.38
Anureet Singh,2,112,143,7.66
GD McGrath,2,49,49,6.0
Azhar Mahmood,2,25,23,5.52
B Akhil,2,48,57,7.12
Fazalhaq Farooqi,2,100,144,8.64
DS Rathi,2,123,140,6.83
DG Nalkande,2,33,57,10.36
D Wiese,2,62,75,7.26
CR Brathwaite,2,56,59,6.32
CK Langeveldt,2,27,45,10.0
Kamran Khan,2,14,11,4.71
BB Sran,2,68,94,8.29
MF Maharoof,2,55,57,6.22
LR Shukla,2,51,68,8.0
A Badoni,2,10,13,7.8
MN Samuels,2,30,35,7.0
A Mithun,2,94,145,9.26
Mohammad Asif,2,25,38,9.12
LI Meriwala,1,19,31,9.79
Mohammad Hafeez,1,45,33,4.4
Swapnil Singh,1,37,46,7.46
B Geeves,1,24,41,10.25
SB Joshi,1,49,63,7.71
GC Viljoen,1,18,22,7.33
TK Curran,1,66,105,9.55
OF Smith,1,50,93,11.16
SH Johnson,1,50,71,8.52
TL Suman,1,12,15,7.5
GHS Garton,1,27,24,5.33
S Dhawan,1,13,26,12.0
Sohail Tanvir,1,50,69,8.28
A Symonds,1,87,101,6.97
J Botha,1,63,91,8.67
BA Bhatt,1,64,99,9.28
DJ Willey,1,54,65,7.22
DJ Hussey,1,62,88,8.52
Navdeep Saini,1,19,35,11.05
D Salunkhe,1,26,34,7.85
D Kalyankrishna,1,18,30,10.0
D Brevis,1,3,8,16.0
CR Woakes,1,25,41,9.84
N Burger,1,18,21,7.0
Shoaib Malik,1,24,29,7.25
SS Mundhe,1,7,5,4.29
A Chandila,1,36,47,7.83
BAW Mendis,1,73,79,6.49
Shashank Singh,1,25,41,9.84
AA Noffke,1,25,35,8.4
MK Tiwary,1,7,10,8.57
NA Saini,1,102,127,7.47
R Parag,1,48,83,10.38
V Viyaskanth,1,24,37,9.25
XC Bartlett,1,36,54,9.0
MJ Henry,1,69,115,10.0
AC Thomas,1,37,43,6.97
P Suyal,1,19,20,6.32
VY Mahesh,1,24,23,5.75
